	finished	start_time	finish_time	comment	ID	cont_url	line1_url	line2_url	out_url
20	True	19:57 Wed 19/04	23:48 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2937741147	./Data/real_data/20-B-2937741147/cont.dat	./Data/real_data/20-B-2937741147/MGII.dat	./Data/real_data/20-B-2937741147/CIV.dat	./Data/real_data/20-B-2937741147/
21	True	20:09 Wed 19/04	23:51 Wed 19/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2937810288	./Data/real_data/21-B-2937810288/cont.dat	./Data/real_data/21-B-2937810288/MGII.dat	./Data/real_data/21-B-2937810288/CIV.dat	./Data/real_data/21-B-2937810288/
22	True	21:09 Wed 19/04	02:28 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2937856748	./Data/real_data/22-B-2937856748/cont.dat	./Data/real_data/22-B-2937856748/MGII.dat	./Data/real_data/22-B-2937856748/CIV.dat	./Data/real_data/22-B-2937856748/
23	True	21:22 Wed 19/04	00:36 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2937895789	./Data/real_data/23-B-2937895789/cont.dat	./Data/real_data/23-B-2937895789/MGII.dat	./Data/real_data/23-B-2937895789/CIV.dat	./Data/real_data/23-B-2937895789/
24	True	22:04 Wed 19/04	00:59 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2937961955	./Data/real_data/24-B-2937961955/cont.dat	./Data/real_data/24-B-2937961955/MGII.dat	./Data/real_data/24-B-2937961955/CIV.dat	./Data/real_data/24-B-2937961955/
25	True	23:16 Wed 19/04	04:36 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938049569	./Data/real_data/25-B-2938049569/cont.dat	./Data/real_data/25-B-2938049569/MGII.dat	./Data/real_data/25-B-2938049569/CIV.dat	./Data/real_data/25-B-2938049569/
26	True	23:45 Wed 19/04	03:56 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938055829	./Data/real_data/26-B-2938055829/cont.dat	./Data/real_data/26-B-2938055829/MGII.dat	./Data/real_data/26-B-2938055829/CIV.dat	./Data/real_data/26-B-2938055829/
27	True	23:48 Wed 19/04	06:28 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938228331	./Data/real_data/27-B-2938228331/cont.dat	./Data/real_data/27-B-2938228331/MGII.dat	./Data/real_data/27-B-2938228331/CIV.dat	./Data/real_data/27-B-2938228331/
28	True	23:52 Wed 19/04	03:24 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938254204	./Data/real_data/28-B-2938254204/cont.dat	./Data/real_data/28-B-2938254204/MGII.dat	./Data/real_data/28-B-2938254204/CIV.dat	./Data/real_data/28-B-2938254204/
29	True	00:36 Thu 20/04	03:43 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938258860	./Data/real_data/29-B-2938258860/cont.dat	./Data/real_data/29-B-2938258860/MGII.dat	./Data/real_data/29-B-2938258860/CIV.dat	./Data/real_data/29-B-2938258860/
