	finished	start_time	finish_time	comment	ID	mode	cont_url	line1_url	line2_url	out_url
18	True	13:08 Tue 09/05	15:48 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	18	line1	./Data/data_shuffle/24-08-23/cont.dat	./Data/data_shuffle/24-08-23/line1.dat	./Data/data_shuffle/24-08-23/line2.dat	./Data/data_shuffle/24-08-23/
19	False	13:08 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	19	line1	./Data/data_shuffle/24-10-23/cont.dat	./Data/data_shuffle/24-10-23/line1.dat	./Data/data_shuffle/24-10-23/line2.dat	./Data/data_shuffle/24-10-23/
20	True	13:08 Tue 09/05	16:00 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	20	line1	./Data/data_shuffle/80-24-23/cont.dat	./Data/data_shuffle/80-24-23/line1.dat	./Data/data_shuffle/80-24-23/line2.dat	./Data/data_shuffle/80-24-23/
21	True	13:08 Tue 09/05	15:01 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	21	line1	./Data/data_shuffle/80-81-08/cont.dat	./Data/data_shuffle/80-81-08/line1.dat	./Data/data_shuffle/80-81-08/line2.dat	./Data/data_shuffle/80-81-08/
22	True	13:06 Tue 09/05	14:48 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	22	line1	./Data/data_shuffle/81-23-08/cont.dat	./Data/data_shuffle/81-23-08/line1.dat	./Data/data_shuffle/81-23-08/line2.dat	./Data/data_shuffle/81-23-08/
23	True	13:08 Tue 09/05	14:40 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	23	line1	./Data/data_shuffle/81-24-08/cont.dat	./Data/data_shuffle/81-24-08/line1.dat	./Data/data_shuffle/81-24-08/line2.dat	./Data/data_shuffle/81-24-08/
24	True	13:08 Tue 09/05	14:54 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	24	line2	./Data/data_shuffle/08-10-24/cont.dat	./Data/data_shuffle/08-10-24/line1.dat	./Data/data_shuffle/08-10-24/line2.dat	./Data/data_shuffle/08-10-24/
25	False	13:50 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	25	line2	./Data/data_shuffle/08-81-24/cont.dat	./Data/data_shuffle/08-81-24/line1.dat	./Data/data_shuffle/08-81-24/line2.dat	./Data/data_shuffle/08-81-24/
26	False	14:05 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	26	line2	./Data/data_shuffle/10-23-24/cont.dat	./Data/data_shuffle/10-23-24/line1.dat	./Data/data_shuffle/10-23-24/line2.dat	./Data/data_shuffle/10-23-24/
27	False	14:12 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	27	line2	./Data/data_shuffle/10-23-81/cont.dat	./Data/data_shuffle/10-23-81/line1.dat	./Data/data_shuffle/10-23-81/line2.dat	./Data/data_shuffle/10-23-81/
28	False	14:25 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	28	line2	./Data/data_shuffle/23-08-80/cont.dat	./Data/data_shuffle/23-08-80/line1.dat	./Data/data_shuffle/23-08-80/line2.dat	./Data/data_shuffle/23-08-80/
29	False	14:34 Tue 09/05	               	Job started /w 600 chains, 300 samples, 1000 burn in and 1 cores	29	line2	./Data/data_shuffle/23-80-81/cont.dat	./Data/data_shuffle/23-80-81/line1.dat	./Data/data_shuffle/23-80-81/line2.dat	./Data/data_shuffle/23-80-81/
30	True	14:41 Tue 09/05	17:03 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	30	line2	./Data/data_shuffle/24-08-23/cont.dat	./Data/data_shuffle/24-08-23/line1.dat	./Data/data_shuffle/24-08-23/line2.dat	./Data/data_shuffle/24-08-23/
31	True	14:42 Tue 09/05	17:59 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	31	line2	./Data/data_shuffle/24-10-23/cont.dat	./Data/data_shuffle/24-10-23/line1.dat	./Data/data_shuffle/24-10-23/line2.dat	./Data/data_shuffle/24-10-23/
32	True	14:48 Tue 09/05	17:18 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	32	line2	./Data/data_shuffle/80-24-23/cont.dat	./Data/data_shuffle/80-24-23/line1.dat	./Data/data_shuffle/80-24-23/line2.dat	./Data/data_shuffle/80-24-23/
33	True	14:55 Tue 09/05	17:08 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	33	line2	./Data/data_shuffle/80-81-08/cont.dat	./Data/data_shuffle/80-81-08/line1.dat	./Data/data_shuffle/80-81-08/line2.dat	./Data/data_shuffle/80-81-08/
34	True	15:02 Tue 09/05	18:34 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	34	line2	./Data/data_shuffle/81-23-08/cont.dat	./Data/data_shuffle/81-23-08/line1.dat	./Data/data_shuffle/81-23-08/line2.dat	./Data/data_shuffle/81-23-08/
35	True	15:11 Tue 09/05	19:48 Tue 09/05	Job done /w 600 chains, 300 samples, 1000 burn in and 1 cores	35	line2	./Data/data_shuffle/81-24-08/cont.dat	./Data/data_shuffle/81-24-08/line1.dat	./Data/data_shuffle/81-24-08/line2.dat	./Data/data_shuffle/81-24-08/
