	ID	line_type	cont_url	line1_url	line2_url	cont_measurements	line1_measurements	line2_measurements	cont_sig2noise	line1_sig2noise	line2_sig2noise
29	2938258860	MGII/CIV	./real_data/29-B-2938258860/cont.dat	./real_data/29-B-2938258860/MGII.dat	./real_data/29-B-2938258860/CIV.dat	142	21	5	0.14918230459219337	0.340322068814348	0.0
30	2938268664	MGII/CIV	./real_data/30-B-2938268664/cont.dat	./real_data/30-B-2938268664/MGII.dat	./real_data/30-B-2938268664/CIV.dat	94	21	19	0.260689350422699	0.3465940852617127	0.0
31	2938398472	MGII/CIV	./real_data/31-B-2938398472/cont.dat	./real_data/31-B-2938398472/MGII.dat	./real_data/31-B-2938398472/CIV.dat	136	32	23	0.12313516578523058	0.22645501685100863	0.0
32	2938497808	MGII/CIV	./real_data/32-B-2938497808/cont.dat	./real_data/32-B-2938497808/MGII.dat	./real_data/32-B-2938497808/CIV.dat	137	18	16	0.22024451216423954	0.21069921475673434	0.0
33	2938498296	MGII/CIV	./real_data/33-B-2938498296/cont.dat	./real_data/33-B-2938498296/MGII.dat	./real_data/33-B-2938498296/CIV.dat	132	13	12	0.1404303928926038	0.0	0.46744024201682305
34	2938638637	MGII/CIV	./real_data/34-B-2938638637/cont.dat	./real_data/34-B-2938638637/MGII.dat	./real_data/34-B-2938638637/CIV.dat	135	22	19	0.3068645428263668	0.1461345384230249	0.0
35	2938666749	MGII/CIV	./real_data/35-B-2938666749/cont.dat	./real_data/35-B-2938666749/MGII.dat	./real_data/35-B-2938666749/CIV.dat	136	23	20	0.32285997796200383	0.18742726824639738	0.0
36	2938756405	MGII/CIV	./real_data/36-B-2938756405/cont.dat	./real_data/36-B-2938756405/MGII.dat	./real_data/36-B-2938756405/CIV.dat	134	33	25	0.19749058615772577	0.2343683663918699	0.0
37	2938870373	MGII/CIV	./real_data/37-B-2938870373/cont.dat	./real_data/37-B-2938870373/MGII.dat	./real_data/37-B-2938870373/CIV.dat	132	22	18	0.10381626981792359	0.3600142439750725	0.0
38	2938878570	MGII/CIV	./real_data/38-B-2938878570/cont.dat	./real_data/38-B-2938878570/MGII.dat	./real_data/38-B-2938878570/CIV.dat	133	30	25	0.27264929266246324	0.2157533826138376	0.0
39	2938969598	MGII/CIV	./real_data/39-B-2938969598/cont.dat	./real_data/39-B-2938969598/MGII.dat	./real_data/39-B-2938969598/CIV.dat	136	33	24	0.1805271557064497	0.14978344192326012	0.0
40	2938985411	MGII/CIV	./real_data/40-B-2938985411/cont.dat	./real_data/40-B-2938985411/MGII.dat	./real_data/40-B-2938985411/CIV.dat	135	32	24	0.1117803352374973	0.09703427591299271	0.0
41	2939225137	MGII/CIV	./real_data/41-B-2939225137/cont.dat	./real_data/41-B-2939225137/MGII.dat	./real_data/41-B-2939225137/CIV.dat	170	29	21	0.16436148583266025	0.13288535173334012	0.0
42	2939317867	MGII/CIV	./real_data/42-B-2939317867/cont.dat	./real_data/42-B-2939317867/MGII.dat	./real_data/42-B-2939317867/CIV.dat	156	28	14	0.09508255173566624	0.6972488887605437	0.0
43	2939348426	MGII/CIV	./real_data/43-B-2939348426/cont.dat	./real_data/43-B-2939348426/MGII.dat	./real_data/43-B-2939348426/CIV.dat	149	40	24	0.04628584375269963	0.3225481813667244	0.0
44	2939394160	MGII/CIV	./real_data/44-B-2939394160/cont.dat	./real_data/44-B-2939394160/MGII.dat	./real_data/44-B-2939394160/CIV.dat	139	28	22	0.17272937873124128	0.2846172674727803	0.0
45	2939489514	MGII/CIV	./real_data/45-B-2939489514/cont.dat	./real_data/45-B-2939489514/MGII.dat	./real_data/45-B-2939489514/CIV.dat	169	32	20	0.17718132827059166	0.2493487137131362	0.0
46	2939520972	MGII/CIV	./real_data/46-B-2939520972/cont.dat	./real_data/46-B-2939520972/MGII.dat	./real_data/46-B-2939520972/CIV.dat	166	32	21	0.11330936056835764	0.1768275444270011	0.0
47	2939531854	MGII/CIV	./real_data/47-B-2939531854/cont.dat	./real_data/47-B-2939531854/MGII.dat	./real_data/47-B-2939531854/CIV.dat	154	29	19	0.12207338104961299	0.13023194226403612	0.0
48	2939622630	MGII/CIV	./real_data/48-B-2939622630/cont.dat	./real_data/48-B-2939622630/MGII.dat	./real_data/48-B-2939622630/CIV.dat	205	34	22	0.16852345144550648	0.16564515337479604	0.0
