0	203.813	204.782	72.079	262.513	418.498	534.152	203.813	204.782	72.079	262.513	418.498	534.152
1	120.749	161.217	390.044	25.011	359.953	564.493	120.749	161.217	390.044	25.011	359.953	564.493
2	515.857	511.770	351.086	687.500	405.770	538.183	515.857	511.770	351.086	687.500	405.770	538.183
3	36.735	42.159	19.498	12.520	423.947	568.767	36.735	42.159	19.498	12.520	423.947	568.767
4	789.784	781.429	34.772	687.492	505.417	533.315	789.784	781.429	34.772	687.492	505.417	533.315
5	547.172	509.827	408.718	74.977	135.337	160.827	547.172	509.827	408.718	74.977	135.337	160.827
6	625.041	606.486	319.239	674.998	496.090	525.266	625.041	606.486	319.239	674.998	496.090	525.266
7	63.669	111.943	95.259	506.973	540.921	166.716	63.669	111.943	95.259	506.973	540.921	166.716
8	517.792	518.033	19.917	25.012	390.673	563.086	517.792	518.033	19.917	25.012	390.673	563.086
9	193.088	155.861	77.137	287.513	341.410	529.106	193.088	155.861	77.137	287.513	341.410	529.106
10	532.814	529.992	38.486	187.494	340.426	510.215	532.814	529.992	38.486	187.494	340.426	510.215
11	525.137	510.178	467.545	412.495	397.199	554.431	525.137	510.178	467.545	412.495	397.199	554.431
12	124.954	171.056	410.554	737.504	496.452	547.882	124.954	171.056	410.554	737.504	496.452	547.882
13	406.688	456.178	377.196	462.507	432.538	497.555	406.688	456.178	377.196	462.507	432.538	497.555
14	678.195	678.419	120.340	637.446	389.707	541.009	678.195	678.419	120.340	637.446	389.707	541.009
15	216.826	221.187	389.565	262.486	232.017	442.496	216.826	221.187	389.565	262.486	232.017	442.496
16	75.225	185.872	442.858	312.499	365.836	537.789	75.225	185.872	442.858	312.499	365.836	537.789
17	131.198	135.561	23.796	587.487	441.098	553.668	131.198	135.561	23.796	587.487	441.098	553.668
18	213.938	194.941	59.239	12.540	394.180	539.955	213.938	194.941	59.239	12.540	394.180	539.955
19	624.554	551.605	470.962	0.002	13.045	185.141	624.554	551.605	470.962	0.002	13.045	185.141
20	598.012	597.130	28.440	0.004	348.948	569.956	598.012	597.130	28.440	0.004	348.948	569.956
21	787.499	569.314	575.021	674.976	465.765	515.572	787.499	569.314	575.021	674.976	465.765	515.572
22	190.668	207.694	608.551	350.011	401.561	523.486	190.668	207.694	608.551	350.011	401.561	523.486
23	526.031	535.903	70.082	712.480	595.343	509.725	526.031	535.903	70.082	712.480	595.343	509.725
24	521.221	524.989	19.420	412.506	406.440	526.520	521.221	524.989	19.420	412.506	406.440	526.520
25	775.081	662.616	231.583	725.000	506.023	564.669	775.081	662.616	231.583	725.000	506.023	564.669
26	62.112	120.028	119.564	762.487	444.484	565.374	62.112	120.028	119.564	762.487	444.484	565.374
27	600.111	511.799	365.640	712.477	402.450	553.113	600.111	511.799	365.640	712.477	402.450	553.113
28	145.541	150.630	27.200	25.006	330.735	566.893	145.541	150.630	27.200	25.006	330.735	566.893
29	152.812	156.263	21.561	787.494	408.168	614.856	152.812	156.263	21.561	787.494	408.168	614.856
30	178.406	193.423	372.415	312.506	383.398	554.826	178.406	193.423	372.415	312.506	383.398	554.826
31	579.478	579.910	32.957	387.506	392.886	558.512	579.478	579.910	32.957	387.506	392.886	558.512
