	ID	Type	Folder	redshift	L1	L2	L3	Lag1	Lag1Var	Lag2	Lag2Var
27	2938228331	MGII/CIV	./Data/real_data/27-B-2938228331/	1.874	45.607	45.763	45.869	511.799	358.519	402.45	513.56
28	2938254204	MGII/CIV	./Data/real_data/28-B-2938254204/	1.772	45.062	45.218	45.324	150.63	24.355	330.735	527.917
29	2938258860	MGII/CIV	./Data/real_data/29-B-2938258860/	1.777	45.432	45.588	45.695	156.263	19.522	408.168	578.484
30	2938268664	MGII/CIV	./Data/real_data/30-B-2938268664/	1.795	44.924	45.08	45.186	193.423	368.805	383.398	516.353
31	2938398472	MGII/CIV	./Data/real_data/31-B-2938398472/	1.816	45.524	45.68	45.786	579.91	28.522	392.886	514.925
32	2938497808	MGII/CIV	./Data/real_data/32-B-2938497808/	1.915	45.522	45.678	45.784	517.392	24.41	390.609	555.34
33	2938498296	MGII/CIV	./Data/real_data/33-B-2938498296/	1.924	45.131	45.286	45.393	538.594	509.833	412.804	295.825
34	2938638637	MGII/CIV	./Data/real_data/34-B-2938638637/	1.792	45.501	45.657	45.764	193.305	321.059	367.418	505.636
35	2938666749	MGII/CIV	./Data/real_data/35-B-2938666749/	1.836	45.213	45.368	45.475	782.354	45.985	418.155	500.877
36	2938756405	MGII/CIV	./Data/real_data/36-B-2938756405/	1.795	45.14	45.296	45.402	532.748	18.118	373.69	446.086
37	2938870373	MGII/CIV	./Data/real_data/37-B-2938870373/	1.83	44.965	45.121	45.227	523.067	41.526	464.141	563.692
38	2938878570	MGII/CIV	./Data/real_data/38-B-2938878570/	1.9	45.386	45.542	45.648	531.728	178.292	435.874	490.712
39	2938969598	MGII/CIV	./Data/real_data/39-B-2938969598/	1.825	45.354	45.509	45.616	507.724	89.452	441.906	602.332
40	2938985411	MGII/CIV	./Data/real_data/40-B-2938985411/	1.844	45.481	45.637	45.744	491.976	97.862	395.228	537.814
41	2939225137	MGII/CIV	./Data/real_data/41-B-2939225137/	1.749	45.296	45.452	45.558	195.041	209.907	412.516	523.678
42	2939317867	MGII/CIV	./Data/real_data/42-B-2939317867/	1.815	44.972	45.128	45.234	80.715	27.925	378.398	445.421
43	2939348426	MGII/CIV	./Data/real_data/43-B-2939348426/	1.779	45.222	45.378	45.484	189.051	398.507	382.498	493.165
44	2939394160	MGII/CIV	./Data/real_data/44-B-2939394160/	1.747	45.375	45.531	45.637	552.887	348.825	449.596	534.261
45	2939489514	MGII/CIV	./Data/real_data/45-B-2939489514/	1.801	45.411	45.567	45.673	519.193	354.32	395.493	510.741
46	2939520972	MGII/CIV	./Data/real_data/46-B-2939520972/	1.917	45.767	45.923	46.029	168.238	48.4	415.563	514.849
47	2939531854	MGII/CIV	./Data/real_data/47-B-2939531854/	1.916	45.242	45.398	45.505	542.388	265.885	453.844	624.151
48	2939622630	MGII/CIV	./Data/real_data/48-B-2939622630/	1.92	45.513	45.669	45.775	632.713	24.302	310.636	317.471
49	2939627477	MGII/CIV	./Data/real_data/49-B-2939627477/	1.753	45.714	45.87	45.977	628.727	27.111	383.039	487.199
51	2939649603	MGII/CIV	./Data/real_data/51-B-2939649603/	1.773	44.826	44.982	45.089	751.93	79.32	350.316	499.266
52	2939652807	MGII/CIV	./Data/real_data/52-B-2939652807/	1.786	44.866	45.022	45.128	156.042	98.485	246.136	496.639
53	2939694336	MGII/CIV	./Data/real_data/53-B-2939694336/	1.75	45.508	45.664	45.771	524.924	38.869	408.945	517.737
54	2939771369	MGII/CIV	./Data/real_data/54-B-2939771369/	1.831	45.109	45.265	45.372	288.357	434.187	430.915	501.239
55	2939776918	MGII/CIV	./Data/real_data/55-B-2939776918/	1.784	45.541	45.696	45.803	556.138	50.512	381.22	528.79
56	2939791816	MGII/CIV	./Data/real_data/56-B-2939791816/	1.835	45.132	45.288	45.394	525.64	60.404	515.889	562.447
57	2940060892	MGII/CIV	./Data/real_data/57-B-2940060892/	1.76	45.426	45.582	45.689	186.873	420.904	386.963	505.846
58	2940088831	MGII/CIV	./Data/real_data/58-B-2940088831/	1.908	44.69	44.846	44.952	200.499	21.915	472.77	420.986
59	2940097386	MGII/CIV	./Data/real_data/59-B-2940097386/	1.909	45.487	45.643	45.749	521.808	79.584	367.069	500.106
60	2940140085	MGII/CIV	./Data/real_data/60-B-2940140085/	1.839	45.03	45.186	45.293	542.614	79.039	394.049	502.964
61	2940147277	MGII/CIV	./Data/real_data/61-B-2940147277/	1.894	44.963	45.119	45.225	162.516	11.825	287.16	492.706
62	2940260013	MGII/CIV	./Data/real_data/62-B-2940260013/	1.821	45.263	45.419	45.526	524.677	315.546	385.607	493.819
63	2940327071	MGII/CIV	./Data/real_data/63-B-2940327071/	1.732	45.354	45.51	45.616	195.612	52.726	441.98	491.402
64	2940351862	MGII/CIV	./Data/real_data/64-B-2940351862/	1.824	45.197	45.353	45.459	181.578	53.004	396.506	503.65
65	2940510474	MGII/CIV	./Data/real_data/65-B-2940510474/	1.923	45.058	45.214	45.321	527.073	27.769	119.045	114.973
66	2940557913	MGII/CIV	./Data/real_data/66-B-2940557913/	1.818	44.782	44.938	45.044	509.22	382.689	389.648	507.563
67	2940670625	MGII/CIV	./Data/real_data/67-B-2940670625/	1.749	45.248	45.404	45.51	179.421	31.796	388.198	491.246
68	2940876978	MGII/CIV	./Data/real_data/68-B-2940876978/	1.824	45.153	45.309	45.416	552.56	67.236	454.239	457.294
69	2940901822	MGII/CIV	./Data/real_data/69-B-2940901822/	1.731	45.393	45.549	45.656	216.044	348.148	415.751	491.255
70	2940908514	MGII/CIV	./Data/real_data/70-B-2940908514/	1.822	45.116	45.272	45.378	161.717	375.536	352.735	487.485
71	2940922093	MGII/CIV	./Data/real_data/71-B-2940922093/	1.801	45.407	45.563	45.669	188.879	616.572	375.566	509.876
72	2940963619	MGII/CIV	./Data/real_data/72-B-2940963619/	1.783	45.172	45.328	45.434	750.273	280.937	402.297	465.339
73	2970356187	MGII/CIV	./Data/real_data/73-B-2970356187/	1.749	45.488	45.643	45.75	478.163	83.405	400.865	486.136
74	2970386160	MGII/CIV	./Data/real_data/74-B-2970386160/	1.861	45.551	45.707	45.814	512.742	35.339	619.161	490.896
75	2970400768	MGII/CIV	./Data/real_data/75-B-2970400768/	1.791	45.309	45.465	45.571	546.032	39.187	285.989	471.205
76	2970414144	MGII/CIV	./Data/real_data/76-B-2970414144/	1.873	45.63	45.786	45.893	510.766	373.829	393.324	528.456
77	2970460831	MGII/CIV	./Data/real_data/77-B-2970460831/	1.818	45.474	45.629	45.736	140.74	41.851	262.154	438.763
78	2970569124	MGII/CIV	./Data/real_data/78-B-2970569124/	1.841	45.459	45.615	45.722	560.172	25.006	419.858	471.198
79	2970604169	Hbeta/MGII	./Data/real_data/79-A-2970604169/	0.682	44.63	44.786	44.892	160.432	83.426	259.388	41.015
80	2970611652	MGII/CIV	./Data/real_data/80-B-2970611652/	1.819	45.25	45.406	45.513	522.008	17.006	467.275	497.503
81	2970744291	MGII/CIV	./Data/real_data/81-B-2970744291/	1.714	45.199	45.355	45.462	178.348	342.77	386.623	450.963
82	2970786038	MGII/CIV	./Data/real_data/82-B-2970786038/	1.815	45.232	45.387	45.494	175.208	25.669	359.018	481.215
83	2970791376	MGII/CIV	./Data/real_data/83-B-2970791376/	1.809	45.424	45.58	45.687	784.747	2.431	525.594	472.651
84	2970798013	MGII/CIV	./Data/real_data/84-B-2970798013/	1.781	45.355	45.511	45.617	133.332	51.991	353.189	482.881
85	2970807282	MGII/CIV	./Data/real_data/85-B-2970807282/	1.735	45.283	45.439	45.546	585.493	35.461	348.917	502.389
86	2970850376	MGII/CIV	./Data/real_data/86-B-2970850376/	1.81	45.473	45.629	45.735	510.545	20.766	314.78	444.494
87	2970951335	MGII/CIV	./Data/real_data/87-B-2970951335/	1.912	45.976	46.132	46.239	557.268	29.884	402.535	500.257
88	2971028700	Hbeta/MGII	./Data/real_data/88-A-2971028700/	0.654	44.318	44.474	44.581	152.524	100.657	12.112	116.334
89	2971049565	MGII/CIV	./Data/real_data/89-B-2971049565/	1.771	45.309	45.465	45.571	526.599	378.309	314.497	422.71
90	2971086054	Hbeta/MGII	./Data/real_data/90-A-2971086054/	0.667	44.402	44.558	44.665	155.08	54.076	525.764	367.847
91	2971134055	Hbeta/MGII	./Data/real_data/91-A-2971134055/	0.679	44.318	44.473	44.58	143.131	330.254	537.942	42.031
92	2971214955	MGII/CIV	./Data/real_data/92-B-2971214955/	1.746	45.414	45.57	45.677	545.946	12.184	416.993	534.055
